n_estimators,learning_rate,max_depth,min_samples_split,min_samples_leaf,subsample,max_features,train_R2,train_RMSE,train_MAE,train_MAPE,train_MedAE,train_Max_Error,train_Explained_Var,test_R2,test_RMSE,test_MAE,test_MAPE,test_MedAE,test_Max_Error,test_Explained_Var
100,0.001,9,10,5,1.0,1.0,0.062372839013342674,3.7453593824341818,2.873969529805727,127.31634375121712,2.477621211478198,42.29162759587796,0.062372839013342674,0.061620111845629766,3.7458628500499493,2.8840512769216184,126.81337237949563,2.4804540425982964,40.26725360950806,0.061654005971548465
100,0.01,3,10,5,0.8,0.8,0.48045485606073857,2.787982552782585,2.0547486088676052,86.49623149546287,1.6549844498109554,37.10166043839537,0.4804548573353272,0.4726276432346107,2.8081558524719163,2.0758602661430428,86.89193288841108,1.6644462841577012,35.10166043839537,0.4726334956749322
100,0.01,3,10,5,0.8,1.0,0.200316452081589,3.458895866004316,2.6008286410224217,113.87986367877747,2.319640944305512,41.62053367324779,0.20031645289275435,0.20038036867014197,3.457834877783315,2.6116175471872927,113.57858777392072,2.31628851354706,39.484037704121505,0.20039792721315886
100,0.01,3,10,5,1.0,0.8,0.48017477323487257,2.788733941597958,2.0566706289187877,86.56937010003931,1.6452154178257699,37.0184377037297,0.48017477323487257,0.4724106087559462,2.808733626355639,2.07762448007817,86.96030749681766,1.6635139882196661,35.0184377037297,0.47241634934779964
100,0.01,3,10,5,1.0,1.0,0.1807400863694567,3.500977013652875,2.6391621452485015,115.13856356612561,2.34181468162081,41.70533783483894,0.1807400863694566,0.1811775710039385,3.4991083588314775,2.6496251777902344,114.84703440297712,2.340247577847844,39.57461010521175,0.1811937213433853
100,0.01,5,10,5,0.8,0.8,0.524875073740302,2.6661360932103015,1.9697969393671588,82.32001795277635,1.563268174493691,35.65056409338406,0.5248750739691662,0.5162276423209742,2.689571235236509,1.9887987061265398,82.63468906073263,1.5657435079214093,33.66063054916813,0.5162378328098869
100,0.01,5,10,5,0.8,1.0,0.273946396971123,3.2958144167089136,2.458341690417423,106.77902977697387,2.109736974844194,41.19674654537063,0.273946397989556,0.27297281383683336,3.297143522457699,2.4718956452107195,106.70471749182136,2.109396602850235,38.600827440190784,0.2729850258686426
100,0.01,5,10,5,1.0,0.8,0.5235222505625396,2.669929039794865,1.9722981018574448,82.42876254670644,1.5705666132873701,35.736704764563264,0.5235222505625398,0.5149227652741336,2.6931960768808505,1.9912871170937791,82.74346679256384,1.570797623570651,33.736704764563264,0.5149324894036991
100,0.01,5,10,5,1.0,1.0,0.2682276473902723,3.3087686729885615,2.471144242569008,107.32322999776844,2.1329957221461076,41.01023791404951,0.26822764739027216,0.2677756233850259,3.308907434420691,2.4833414278895676,107.17615574553399,2.1322685841101143,38.738124886765846,0.26778968339800124
100,0.01,7,10,5,0.8,0.8,0.5520079363346962,2.588889814398363,1.9177399422628285,80.2240386531397,1.504096385489334,35.66467497168223,0.5520079363767101,0.542701630250207,2.6149437618719165,1.9383581586569196,80.57510732662627,1.5085189826025447,32.7380653533459,0.5427136202819737
