n_estimators,max_features,min_samples_split,train_R2,train_RMSE,train_MAE,train_MAPE,train_MedAE,train_Max_Error,train_Explained_Var,test_R2,test_RMSE,test_MAE,test_MAPE,test_MedAE,test_Max_Error,test_Explained_Var
50,0.1,7,0.992230574,0.2926421,0.100232824,2.951870747,0.036920635,25.26568038,0.992230672,0.984752683,0.402024112,0.148154801,4.443815135,0.056666667,22.41460317,0.984753366
50,0.1,8,0.99174608,0.30162857,0.106389436,3.157901389,0.040883089,28.52514286,0.991746132,0.984601828,0.404008005,0.152690273,4.578066845,0.060362915,23.01501443,0.984602775
50,0.1,9,0.99104329,0.314207545,0.109174451,3.228819144,0.040332859,28.20291833,0.991043309,0.98424044,0.408721453,0.15105452,4.519587672,0.057658425,22.97016794,0.984242131
50,0.1,10,0.990327758,0.326517095,0.115286333,3.378837084,0.042888889,28.76892352,0.990327771,0.983513595,0.418040503,0.156150997,4.631791775,0.059504551,24.05116936,0.983515394
50,0.3,6,0.997735712,0.157982204,0.026754094,0.655584624,0,19.49712771,0.997735771,0.994514998,0.241125846,0.044813942,1.108923598,0,17.49809019,0.994514999
50,0.3,7,0.99752318,0.165230259,0.026901923,0.655280152,0,21.15048413,0.99752322,0.994611453,0.238996334,0.043160789,1.065098268,0,16.73954545,0.99461146
50,0.3,8,0.997212453,0.175288498,0.029268701,0.728283094,0,25.98808045,0.997212477,0.994736223,0.236213186,0.04484308,1.133880188,0,17.4232785,0.994736361
50,0.3,9,0.996784841,0.188253725,0.031379218,0.750947614,0,25.19675979,0.996784864,0.994192976,0.248103111,0.04628215,1.128011706,0,17.96739108,0.994193077
50,0.3,10,0.996731478,0.189809547,0.032586825,0.803391653,0,25.02653741,0.99673149,0.994341961,0.244899765,0.046728616,1.170716502,0,16.13192055,0.994342258
50,0.5,6,0.998532889,0.127166846,0.015412651,0.295847553,0,17.83047042,0.998533008,0.995922825,0.207890701,0.027290791,0.538101778,0,17.88656577,0.995923082
50,0.5,7,0.998223468,0.139935794,0.016418176,0.321641557,0,20.885671,0.998223597,0.995639811,0.21498493,0.027686382,0.551980205,0,17.49986724,0.995640117
50,0.5,8,0.998116856,0.144073512,0.017404856,0.341894899,0,20.0971811,0.998116941,0.995701415,0.213460809,0.027933801,0.560232956,0,16.91305411,0.995701536
50,0.5,9,0.997874773,0.153054114,0.018678328,0.379018481,0,22.5333078,0.997874833,0.995511267,0.218130942,0.02869149,0.596557176,0,18.24696331,0.995511339
50,0.5,10,0.997847405,0.154036464,0.019152265,0.383543439,0,23.47062682,0.997847483,0.995669034,0.21426329,0.028533813,0.586499926,0,19.15087839,0.995669068
50,1,6,0.988772436,0.351791317,0.153767876,5.164959582,0.076330447,29.94010317,0.988772928,0.975676823,0.50776824,0.233988366,8.035359843,0.119777778,23.44163492,0.975676955
50,1,7,0.987457979,0.371814307,0.165720603,5.570874385,0.08338517,28.8760938,0.987458208,0.97482983,0.516533456,0.240497389,8.239021005,0.123667749,24.73731585,0.974830464
50,1,8,0.986138206,0.390887756,0.173754119,5.895941185,0.087257576,30.32231241,0.986138388,0.974410212,0.520821285,0.24132246,8.349553269,0.122982323,24.08014624,0.974411414
50,1,9,0.984621048,0.411723551,0.18833673,6.41966934,0.095969697,29.14475275,0.984621152,0.972988193,0.535096612,0.25460067,8.845943136,0.13321312,25.53434632,0.972990559
50,1,10,0.983441596,0.42722,0.194000659,6.704153539,0.100233905,32.10882139,0.983441781,0.972635586,0.538577817,0.25543088,8.973743898,0.13553638,24.7704751,0.972636942
100,0.01,6,0.989289733,0.343591571,0.147659937,5.022010503,0.072661616,29.35065115,0.989290222,0.976389399,0.500275119,0.225837731,7.826313073,0.114224387,25.06223413,0.97638947
100,0.01,7,0.98760685,0.369601052,0.16192271,5.481207643,0.080427489,27.96858261,0.987607123,0.974964595,0.515148801,0.236001936,8.139474195,0.120144134,24.70213847,0.974965477
100,0.01,8,0.986339454,0.388039892,0.171102595,5.876134074,0.085239769,29.13816314,0.986339734,0.974484421,0.520065564,0.239227446,8.372386609,0.121633374,24.50380311,0.974485332
100,0.01,9,0.985057593,0.405837918,0.181059159,6.265738707,0.091593795,30.02736723,0.985057836,0.973725046,0.52774772,0.245349227,8.647921789,0.126925443,25.66048468,0.973726778
100,0.01,10,0.984261608,0.416507213,0.186665357,6.531963471,0.095847687,31.35210063,0.984261773,0.973762018,0.527376285,0.246744918,8.76907459,0.129529373,24.98097969,0.973763164
100,0.1,6,0.993439443,0.26891356,0.09002721,2.678115841,0.032873016,27.50966162,0.993439554,0.985490268,0.392179669,0.141408546,4.258617757,0.053159993,22.70795635,0.985490526
100,0.1,7,0.992784444,0.282018278,0.09440778,2.790008789,0.034028139,26.5936461,0.992784569,0.98555848,0.391256746,0.141022359,4.230243639,0.052871892,21.99923088,0.985558898
100,0.1,8,0.992191766,0.293372064,0.099406317,2.973544613,0.037205739,27.05867388,0.99219183,0.985506305,0.391962889,0.142828923,4.327707953,0.055535895,22.06465168,0.985507202
100,0.1,9,0.99149315,0.306215184,0.104472063,3.119660437,0.038690476,27.69462586,0.991493189,0.984843172,0.400829381,0.145189656,4.389685781,0.055095205,22.80228392,0.98484464
100,0.1,10,0.990820563,0.318090259,0.110533547,3.298882614,0.041953803,28.46090761,0.990820576,0.984520968,0.405067388,0.14993342,4.537289616,0.058116122,22.80789701,0.984522894
100,0.3,6,0.997954877,0.150141955,0.024858675,0.615601759,0,18.14196068,0.997954949,0.994761015,0.235656251,0.04203493,1.048123805,0.001666667,17.45053319,0.994761016
100,0.3,7,0.99760435,0.162500233,0.02615579,0.654170615,0,20.44095635,0.9976044,0.994637211,0.23842442,0.04217458,1.065915408,0.002222222,16.55013262,0.994637218
100,0.3,8,0.99747215,0.166923685,0.027366805,0.68425473,0,23.198179,0.997472178,0.994990031,0.230447986,0.04226537,1.071102632,0.0025,17.34153832,0.994990163
100,0.3,9,0.997039827,0.180634567,0.029491306,0.7157404,0.001111111,24.34059156,0.997039868,0.994695125,0.237133527,0.043897335,1.083681907,0.002857143,16.77149389,0.994695228
100,0.3,10,0.997017231,0.181322693,0.030500234,0.749710083,0.001538462,23.78166431,0.997017257,0.994690454,0.237237908,0.043940703,1.094956486,0.003327459,16.53769488,0.994690629
100,0.5,6,0.998556812,0.126125741,0.014749701,0.292250084,0,18.50307251,0.998556925,0.99596672,0.206768583,0.026166218,0.529300977,0,17.8792735,0.995966932
100,0.5,7,0.998344861,0.135070216,0.015493676,0.307037438,0,19.66108947,0.998344969,0.995928085,0.207756552,0.026151583,0.52666076,0,17.55679318,0.995928299
100,0.5,8,0.998201291,0.140806524,0.016328311,0.32662807,0,20.74085642,0.99820138,0.996001079,0.205886,0.026362516,0.538818344,0,16.39680153,0.996001196
100,0.5,9,0.997997281,0.14857726,0.017484073,0.35235272,0,22.65691508,0.997997345,0.995835069,0.210116084,0.026990811,0.559036462,0,17.95800794,0.99583512
100,0.5,10,0.997933279,0.150932693,0.018136357,0.364064311,0,23.14594799,0.997933352,0.995909952,0.208218624,0.027094187,0.55910762,0,17.74895665,0.995909994
100,1,6,0.989289733,0.343591571,0.147659937,5.022010503,0.072661616,29.35065115,0.989290222,0.976389399,0.500275119,0.225837731,7.826313073,0.114224387,25.06223413,0.97638947
100,1,7,0.98760685,0.369601052,0.16192271,5.481207643,0.080427489,27.96858261,0.987607123,0.974964595,0.515148801,0.236001936,8.139474195,0.120144134,24.70213847,0.974965477
100,1,8,0.986339454,0.388039892,0.171102595,5.876134074,0.085239769,29.13816314,0.986339734,0.974484421,0.520065564,0.239227446,8.372386609,0.121633374,24.50380311,0.974485332
100,1,9,0.985057593,0.405837918,0.181059159,6.265738707,0.091593795,30.02736723,0.985057836,0.973725046,0.52774772,0.245349227,8.647921789,0.126925443,25.66048468,0.973726778
100,1,10,0.984261608,0.416507213,0.186665357,6.531963471,0.095847687,31.35210063,0.984261773,0.973762018,0.527376285,0.246744918,8.76907459,0.129529373,24.98097969,0.973763164
